Country,Life_Expectancy ,Adult_Mortality,Code,Infant_Deaths
Afghanistan,58.19375,269.0625,AFG,78.25
Albania,75.15625,45.0625,ALB,0.6875
Algeria,73.61875,108.1875,DZA,20.3125
Angola,49.01875,328.5625,AGO,83.75
Antigua and Barbuda,75.05625,127.5,ATG,0
Argentina,75.15625,106,ARG,10.125
Armenia,73.4,117.375,ARM,1
Australia,81.8125,63.1875,AUS,1
Austria,81.48125,65.75,AUT,0
Azerbaijan,70.73125,115.1875,AZE,6.0625
Bahamas,74.2875,152.0625,BHS,0
Bahrain,75.725,65.375,BHR,0
Bangladesh,69.3,141.375,BGD,153.625
Barbados,74.35625,77.625,BRB,0
Belarus,69.90625,218.75,BLR,0.5625
Belgium,80.68125,70.1875,BEL,0.25
Belize,69.26875,155.5,BLZ,0
Benin,57.56875,269.375,BEN,25
Bhutan,66.1625,230.25,BTN,0.6875
Bolivia (Plurinational State of),67.70625,177.5,BOL,10.75
Bosnia and Herzegovina,75.96875,64.9375,BIH,0
Botswana,56.05,448.125,BWA,2
Brazil,73.38125,150.6875,BRA,68.25
Brunei Darussalam,76.4875,67.0625,BRN,0
Bulgaria,72.85,125.5,BGR,0.9375
Burkina Faso,55.64375,252.5,BFA,44.75
Burundi,55.5375,291.5625,BDI,23.25
C̫te d'Ivoire,50.3875,417.3125,#N/A,61.5
Cabo Verde,72.51875,116.1875,CPV,0
Cambodia,64.34375,196.375,KHM,16.75
Cameroon,54.01875,294.875,CMR,54.9375
Canada,81.6875,64.625,CAN,2
Central African Republic,48.5125,333.0625,CAF,16.5
Chad,50.3875,227.75,TCD,44.875
Chile,79.45,63.625,CHL,2
China,74.2625,73.75,CHN,294.875
Colombia,73.2875,124.25,COL,13.875
Comoros,61.58125,240.9375,COM,1.6875
Congo,59.04375,322.75,#N/A,7.875
Cook Islands,,,#N/A,0
Costa Rica,78.59375,69.375,CRI,1
Croatia,76.11875,89,HRV,0
Cuba,77.975,57.5625,CUB,1
Cyprus,79.675,54.125,CYP,0
Czechia,76.76875,71.8125,#N/A,0
Democratic People's Republic of Korea,69.19375,160.8125,#N/A,9.9375
Democratic Republic of the Congo,55.6875,265.375,#N/A,234.5
Denmark,79.25625,66.0625,DNK,0
Djibouti,60.75625,274.6875,DJI,1.4375
Dominica,,,DMA,0
Dominican Republic,72.34375,143.5,DOM,6.4375
Ecuador,74.725,132.125,ECU,7.375
Egypt,71.5,170.625,#N/A,56.25
El Salvador,71.74375,155.0625,SLV,2.5625
Equatorial Guinea,55.3125,279.375,GNQ,3
Eritrea,60.6875,308.625,ERI,6.3125
Estonia,74.94375,169.6875,EST,0
Ethiopia,59.1125,285.5625,ETH,187.75
Fiji,68.7125,125,FJI,0
Finland,80.7125,68.875,FIN,0
France,82.21875,73.125,FRA,2.9375
Gabon,62.24375,220.4375,GAB,2
Gambia,59.4625,249.625,#N/A,3
Georgia,73.50625,114.9375,GEO,1.1875
Germany,81.175,71.25,DEU,2.5
Ghana,60.8625,180.0625,GHA,40.3125
Greece,81.21875,73.625,GRC,0.1875
Grenada,73.29375,153.75,GRD,0
Guatemala,71.73125,131.1875,GTM,13.125
Guinea,56.0125,259.875,GIN,30.8125
Guinea-Bissau,55.36875,158.3125,GNB,4.5625
Guyana,65.6375,203.9375,GUY,0.5625
Haiti,59.86875,168.3125,HTI,17
Honduras,72.99375,142,HND,4.625
Hungary,73.825,147.0625,HUN,0.5625
Iceland,82.44375,49.375,ISL,0
India,65.41875,146.5625,IND,1366.6875
Indonesia,67.55625,166.5625,IDN,151.1875
Iran (Islamic Republic of),73.85625,107,#N/A,25.1875
Iraq,70.35625,136.75,IRQ,31.1875
Ireland,80.15,72.4375,IRL,0
Israel,81.3,59.5,ISR,0.9375
Italy,82.1875,54.1875,ITA,2
Jamaica,74.29375,141.25,JAM,1
Japan,82.5375,57.125,JPN,2.875
Jordan,72.9875,114.3125,JOR,4
Kazakhstan,66.7625,232.0625,KAZ,7.125
Kenya,57.48125,348.5625,KEN,65.875
Kiribati,65.15,129.4375,KIR,0
Kuwait,73.84375,83.25,KWT,0.5
Kyrgyzstan,69.08125,173.6875,#N/A,3.75
Lao People's Democratic Republic,62.38125,197.1875,#N/A,10.625
Latvia,73.73125,161.8125,LVA,0
Lebanon,74.2,65.3125,LBN,1
Lesotho,48.78125,550.0625,LSO,4.5
Liberia,57.525,246.9375,LBR,10.6875
Libya,72.4875,139.6875,LBY,2.1875
Lithuania,72.80625,117.25,LTU,0
Luxembourg,80.78125,67.5625,LUX,0
Madagascar,62.74375,228.8125,MDG,34.9375
Malawi,49.89375,424.4375,MWI,37.125
Malaysia,73.75625,118.5625,MYS,3.3125
Maldives,75.5375,83.1875,MDV,0
Mali,54.9375,202.125,MLI,55.9375
Malta,80.3625,60.75,MLT,0
Marshall Islands,,,MHL,0
Mauritania,62.8,159.9375,MRT,7.8125
Mauritius,72.7125,163.5625,MUS,0
Mexico,75.71875,111.0625,MEX,39.625
Micronesia (Federated States of),68.2,154.0625,#N/A,0
Monaco,,,MCO,0
Mongolia,65.8875,222.125,MNG,1.5625
Montenegro,74.5,92.75,MNE,0
Morocco,72.15625,95.1875,MAR,21.375
Mozambique,53.39375,226.25,MOZ,74.5625
Myanmar,64.2,154.3125,MMR,56.625
Namibia,60.4,313.1875,NAM,2.875
Nauru,,,NRU,0
Nepal,66.48125,147.25,NPL,29.125
Netherlands,81.13125,61.625,NLD,1
New Zealand,81.3375,71.5,NZL,0
Nicaragua,73.45,162.375,NIC,3.0625
Niger,56.98125,232.4375,NER,52.8125
Nigeria,51.35625,248.5,NGA,535.6875
Niue,,,#N/A,0
Norway,81.79375,66.25,NOR,0
Oman,74.84375,67.75,OMN,1
Pakistan,64.5,154,PAK,367.9375
Palau,,,PLW,0
Panama,76.4875,115.875,PAN,1.125
Papua New Guinea,61.68125,266.5625,PNG,10.625
Paraguay,73.1125,139.9375,PRY,3.1875
Peru,73.6625,122.4375,PER,11.8125
Philippines,67.575,217.9375,PHL,61.1875
Poland,75.65,107.5625,POL,2.25
Portugal,79.99375,58.875,PRT,0.1875
Qatar,77.03125,75.375,QAT,0
Republic of Korea,80.4875,76.1875,#N/A,2.125
Republic of Moldova,69.98125,210.3125,#N/A,1
Romania,74.05,156.0625,ROU,2.8125
Russian Federation,67.7625,224.5625,RUS,16.6875
Rwanda,59.3125,246.8125,RWA,20.75
Saint Kitts and Nevis,,,#N/A,0
Saint Lucia,73.6,146.25,#N/A,0
Saint Vincent and the Grenadines,73.475,152.0625,#N/A,0
Samoa,73.61875,133.5625,WSM,0
San Marino,,,SMR,0
Sao Tome and Principe,65.1625,164.9375,STP,0
Saudi Arabia,73.46875,52.125,SAU,8.625
Senegal,62.56875,174.1875,SEN,22.3125
Serbia,73.95625,130.4375,SRB,1
Seychelles,72.375,161.1875,SYC,0
Sierra Leone,46.1125,357.8125,SLE,27.5625
Singapore,81.475,62,SGP,0
Slovakia,74.75,118.0625,#N/A,0
Slovenia,79.73125,76.4375,SVN,0
Solomon Islands,67.7125,140.0625,SLB,0
Somalia,53.31875,316.75,SOM,49.875
South Africa,57.5,412.75,ZAF,48.6875
South Sudan,53.875,346.3125,SSD,27.75
Spain,82.06875,63.625,ESP,1.625
Sri Lanka,73.4,144.375,LKA,4
Sudan,61.825,240.3125,SDN,64.625
Suriname,70.08125,166,SUR,0
Swaziland,51.325,339,#N/A,2.625
Sweden,82.51875,59.1875,SWE,0
Switzerland,82.33125,55.75,CHE,0
Syrian Arab Republic,70.85,139.625,SYR,8
Tajikistan,66.65625,177.5625,TJK,10.6875
Thailand,73.08125,160.375,THA,12.125
The former Yugoslav republic of Macedonia,74.1125,60.8125,#N/A,0
Timor-Leste,64.75625,170.375,TLS,2.375
Togo,56.6625,311.3125,TGO,14.1875
Tonga,72.53125,129.625,TON,0
Trinidad and Tobago,71.06875,163.375,TTO,0
Tunisia,74.35625,18.75,TUN,3.25
Turkey,73.9125,98.375,TUR,26.9375
Turkmenistan,64.61875,214.8125,TKM,6.5625
Tuvalu,,,TUV,0
Uganda,55.70625,300.1875,UGA,89.6875
Ukraine,69.9375,205.75,UKR,5.0625
United Arab Emirates,75.7,67.0625,ARE,1
United Kingdom of Great Britain and Northern Ireland,80.79375,70.375,GBR,3.625
United Republic of Tanzania,56.00625,304.4375,#N/A,95.25
United States of America,78.0625,58.1875,USA,26.1875
Uruguay,76.075,119.9375,URY,0.5625
Uzbekistan,68.03125,184.8125,UZB,21.9375
Vanuatu,71.3875,137.875,VUT,0
Venezuela (Bolivarian Republic of),73.3875,163,#N/A,9.375
Viet Nam,74.775,126.5625,#N/A,29.1875
Yemen,63.8625,211.8125,#N/A,39.375
Zambia,53.90625,354.3125,ZMB,33.4375
Zimbabwe,50.4875,462.375,ZWE,26.5625
Grand Total,69.22493169,164.7964481,,30.30394826
